match,bowlingTeam,bowlerName,overs,maiden,runs,wickets,economy,0s,4s,6s,wides,noBalls,match_id
Delhi Capitals Vs Mumbai Indians,Mumbai Indians,Jasprit Bumrah,4,0,35,1,8.75,10,2,2,2,1,20
Delhi Capitals Vs Mumbai Indians,Mumbai Indians,Luke Wood,4,0,68,1,17.00,5,9,4,0,0,20
Lucknow Super Giants Vs Rajasthan Royals,Lucknow Super Giants,Ravi Bishnoi,1,0,16,0,16.00,1,2,1,0,0,4
Lucknow Super Giants Vs Rajasthan Royals,Lucknow Super Giants,Amit Mishra,2,0,20,1,10.00,5,1,2,0,0,4
Lucknow Super Giants Vs Rajasthan Royals,Lucknow Super Giants,Krunal Pandya,4,0,24,0,6.00,5,1,0,0,0,4
Lucknow Super Giants Vs Rajasthan Royals,Lucknow Super Giants,Marcus Stoinis,1,0,3,1,3.00,3,0,0,0,0,4
Lucknow Super Giants Vs Rajasthan Royals,Lucknow Super Giants,Yash Thakur,4,0,50,1,12.50,4,7,1,2,0,4
Lucknow Super Giants Vs Rajasthan Royals,Lucknow Super Giants,Mohsin Khan,4,0,52,0,13.00,5,5,3,0,0,4
Lucknow Super Giants Vs Rajasthan Royals,Lucknow Super Giants,Matt Henry,3,0,32,0,10.66,7,3,2,0,0,4
Lucknow Super Giants Vs Rajasthan Royals,Rajasthan Royals,Yuzvendra Chahal,4,0,41,0,10.25,3,5,0,1,0,4
Lucknow Super Giants Vs Rajasthan Royals,Rajasthan Royals,Ravichandran Ashwin,4,0,39,1,9.75,6,4,0,2,0,4
Lucknow Super Giants Vs Rajasthan Royals,Rajasthan Royals,Avesh Khan,4,0,42,1,10.50,7,2,2,1,1,4
Lucknow Super Giants Vs Rajasthan Royals,Rajasthan Royals,Sandeep Sharma,4,0,31,2,7.75,7,3,0,1,0,4
Lucknow Super Giants Vs Rajasthan Royals,Rajasthan Royals,Trent Boult,4,0,41,1,10.25,9,6,0,2,0,4
Gujarat Titans Vs Royal Challengers Bengaluru,Gujarat Titans,Mohit Sharma,2,0,41,0,20.50,3,3,4,0,1,37
Gujarat Titans Vs Royal Challengers Bengaluru,Gujarat Titans,Noor Ahmad,4,0,43,0,10.75,6,4,2,1,0,37
Gujarat Titans Vs Royal Challengers Bengaluru,Gujarat Titans,Rashid Khan,4,0,51,0,12.75,4,3,4,0,0,37
Gujarat Titans Vs Royal Challengers Bengaluru,Gujarat Titans,Sai Kishore,3,0,30,1,10.00,4,0,3,0,0,37
Gujarat Titans Vs Royal Challengers Bengaluru,Gujarat Titans,Sandeep Warrier,1,0,15,0,15.00,1,1,1,2,0,37
Gujarat Titans Vs Royal Challengers Bengaluru,Gujarat Titans,Azmatullah Omarzai,2,0,18,0,9.00,7,1,2,0,0,37
Gujarat Titans Vs Royal Challengers Bengaluru,Royal Challengers Bengaluru,Cameron Green,3,0,42,0,14.00,2,5,2,1,0,37
Gujarat Titans Vs Royal Challengers Bengaluru,Royal Challengers Bengaluru,Karn Sharma,3,0,38,0,12.66,4,1,4,1,0,37
Gujarat Titans Vs Royal Challengers Bengaluru,Royal Challengers Bengaluru,Glenn Maxwell,3,0,28,1,9.33,5,1,2,0,0,37
Gujarat Titans Vs Royal Challengers Bengaluru,Royal Challengers Bengaluru,Yash Dayal,4,0,34,0,8.50,9,2,1,3,1,37
Gujarat Titans Vs Royal Challengers Bengaluru,Royal Challengers Bengaluru,Mohammed Siraj,4,0,34,1,8.50,9,3,1,4,0,37
Gujarat Titans Vs Royal Challengers Bengaluru,Royal Challengers Bengaluru,Swapnil Singh,3,0,23,1,7.66,5,3,0,0,0,37
Chennai Super Kings Vs Sunrisers Hyderabad,Chennai Super Kings,Matheesha Pathirana,2,0,17,2,8.50,3,0,1,2,0,18
Chennai Super Kings Vs Sunrisers Hyderabad,Chennai Super Kings,Shardul Thakur,4,0,27,1,6.75,8,3,0,0,1,18
Chennai Super Kings Vs Sunrisers Hyderabad,Chennai Super Kings,Ravindra Jadeja,4,0,22,1,5.50,8,0,1,0,0,18
Chennai Super Kings Vs Sunrisers Hyderabad,Chennai Super Kings,Mustafizur Rahman,2.5,0,19,2,6.70,6,2,0,0,0,18
Chennai Super Kings Vs Sunrisers Hyderabad,Chennai Super Kings,Tushar Deshpande,3,0,27,4,9.00,6,1,2,0,0,18
Chennai Super Kings Vs Sunrisers Hyderabad,Chennai Super Kings,Deepak Chahar,3,0,22,0,7.33,5,3,0,0,0,18
Chennai Super Kings Vs Sunrisers Hyderabad,Sunrisers Hyderabad,Pat Cummins,4,0,49,0,12.25,4,4,3,1,0,18
Chennai Super Kings Vs Sunrisers Hyderabad,Sunrisers Hyderabad,Jaydev Unadkat,4,0,38,1,9.50,3,2,1,1,0,18
Chennai Super Kings Vs Sunrisers Hyderabad,Sunrisers Hyderabad,T Natarajan,4,0,43,1,10.75,8,3,3,3,0,18
Chennai Super Kings Vs Sunrisers Hyderabad,Sunrisers Hyderabad,Shahbaz Ahmed,3,0,33,0,11.00,3,5,0,0,0,18
Chennai Super Kings Vs Sunrisers Hyderabad,Sunrisers Hyderabad,Nitish Kumar Reddy,1,0,8,0,8.00,2,1,0,1,0,18
Chennai Super Kings Vs Sunrisers Hyderabad,Sunrisers Hyderabad,Bhuvneshwar Kumar,4,0,38,1,9.50,7,5,1,0,0,18
Delhi Capitals Vs Kolkata Knight Riders,Delhi Capitals,Kuldeep Yadav,4,0,34,0,8.50,8,2,2,0,0,16
Delhi Capitals Vs Kolkata Knight Riders,Delhi Capitals,Axar Patel,4,0,25,2,6.25,10,3,0,0,0,16
Delhi Capitals Vs Kolkata Knight Riders,Delhi Capitals,Rasikh Salam,2.3,0,30,0,12.00,3,4,1,0,0,16
Delhi Capitals Vs Kolkata Knight Riders,Delhi Capitals,Khaleel Ahmed,3,0,28,0,9.33,9,4,1,0,0,16
Delhi Capitals Vs Kolkata Knight Riders,Delhi Capitals,Lizaad Williams,3,0,38,1,12.66,7,3,3,1,1,16
Delhi Capitals Vs Kolkata Knight Riders,Kolkata Knight Riders,Andre Russell,1,0,10,0,10.00,3,2,0,0,0,16
Delhi Capitals Vs Kolkata Knight Riders,Kolkata Knight Riders,Varun Chakravarthy,4,0,16,3,4.00,13,1,0,0,0,16
Delhi Capitals Vs Kolkata Knight Riders,Kolkata Knight Riders,Sunil Narine,4,0,24,1,6.00,9,1,1,0,0,16
Delhi Capitals Vs Kolkata Knight Riders,Kolkata Knight Riders,Harshit Rana,4,0,28,2,7.00,11,3,1,1,0,16
Delhi Capitals Vs Kolkata Knight Riders,Kolkata Knight Riders,Vaibhav Arora,4,0,29,2,7.25,15,4,1,2,1,16
Delhi Capitals Vs Kolkata Knight Riders,Kolkata Knight Riders,Mitchell Starc,3,0,43,1,14.33,6,5,2,2,0,16
Mumbai Indians Vs Lucknow Super Giants,Mumbai Indians,Mohammad Nabi,1.2,0,16,1,12.00,1,1,1,0,0,38
Mumbai Indians Vs Lucknow Super Giants,Mumbai Indians,Hardik Pandya,4,0,26,2,6.50,8,2,0,1,0,38
Mumbai Indians Vs Lucknow Super Giants,Mumbai Indians,Piyush Chawla,3,0,23,0,7.66,5,3,0,0,0,38
Mumbai Indians Vs Lucknow Super Giants,Mumbai Indians,Gerald Coetzee,3,0,29,1,9.66,6,4,0,3,0,38
Mumbai Indians Vs Lucknow Super Giants,Mumbai Indians,Jasprit Bumrah,4,0,17,0,4.25,16,1,1,0,0,38
Mumbai Indians Vs Lucknow Super Giants,Mumbai Indians,Nuwan Thushara,4,0,30,1,7.50,11,3,1,2,0,38
Mumbai Indians Vs Lucknow Super Giants,Lucknow Super Giants,Deepak Hooda,2,0,13,0,6.50,3,1,0,0,0,38
Mumbai Indians Vs Lucknow Super Giants,Lucknow Super Giants,Ravi Bishnoi,4,0,28,1,7.00,8,3,0,1,0,38
Mumbai Indians Vs Lucknow Super Giants,Lucknow Super Giants,Mayank Yadav,3.1,0,31,1,9.78,11,3,2,2,1,38
Mumbai Indians Vs Lucknow Super Giants,Lucknow Super Giants,Naveen-ul-Haq,3.5,0,15,1,3.91,11,0,0,0,1,38
Mumbai Indians Vs Lucknow Super Giants,Lucknow Super Giants,Mohsin Khan,4,0,36,2,9.00,10,4,1,0,0,38
Mumbai Indians Vs Lucknow Super Giants,Lucknow Super Giants,Marcus Stoinis,3,0,19,1,6.33,10,1,1,1,0,38
Chennai Super Kings Vs Punjab Kings,Chennai Super Kings,Shivam Dube,1,0,14,1,14.00,1,1,1,0,0,39
Chennai Super Kings Vs Punjab Kings,Chennai Super Kings,Moeen Ali,2,0,22,0,11.00,4,1,2,0,0,39
Chennai Super Kings Vs Punjab Kings,Chennai Super Kings,Ravindra Jadeja,3,0,22,0,7.33,6,3,0,0,0,39
Chennai Super Kings Vs Punjab Kings,Chennai Super Kings,Mustafizur Rahman,4,1,22,0,5.50,14,2,0,5,0,39
Chennai Super Kings Vs Punjab Kings,Chennai Super Kings,Richard Gleeson,3.5,0,30,1,7.82,10,4,0,1,1,39
Chennai Super Kings Vs Punjab Kings,Chennai Super Kings,Shardul Thakur,3.4,0,48,1,13.09,3,5,2,1,1,39
Chennai Super Kings Vs Punjab Kings,Chennai Super Kings,Deepak Chahar,0.2,0,4,0,12.00,1,1,0,0,0,39
Chennai Super Kings Vs Punjab Kings,Punjab Kings,Harshal Patel,1,0,12,0,12.00,0,0,0,1,0,39
Chennai Super Kings Vs Punjab Kings,Punjab Kings,Rahul Chahar,4,0,16,2,4.00,9,0,0,0,0,39
Chennai Super Kings Vs Punjab Kings,Punjab Kings,Harpreet Brar,4,0,17,2,4.25,10,0,0,1,0,39
Chennai Super Kings Vs Punjab Kings,Punjab Kings,Sam Curran,3,0,37,0,12.33,6,4,2,0,1,39
Chennai Super Kings Vs Punjab Kings,Punjab Kings,Arshdeep Singh,4,0,52,1,13.00,8,7,2,5,0,39
Chennai Super Kings Vs Punjab Kings,Punjab Kings,Kagiso Rabada,4,0,23,1,5.75,9,2,0,1,0,39
Sunrisers Hyderabad Vs Rajasthan Royals,Sunrisers Hyderabad,Shahbaz Ahmed,1,0,11,0,11.00,2,2,0,0,0,40
Sunrisers Hyderabad Vs Rajasthan Royals,Sunrisers Hyderabad,Nitish Kumar Reddy,1,0,12,0,12.00,1,1,0,2,0,40
Sunrisers Hyderabad Vs Rajasthan Royals,Sunrisers Hyderabad,Jaydev Unadkat,2,0,23,0,11.50,2,1,1,2,0,40
Sunrisers Hyderabad Vs Rajasthan Royals,Sunrisers Hyderabad,T Natarajan,4,0,35,2,8.75,8,2,2,3,0,40
Sunrisers Hyderabad Vs Rajasthan Royals,Sunrisers Hyderabad,Pat Cummins,4,0,34,2,8.50,12,2,3,0,0,40
Sunrisers Hyderabad Vs Rajasthan Royals,Sunrisers Hyderabad,Marco Jansen,4,0,44,0,11.00,10,7,0,3,2,40
Sunrisers Hyderabad Vs Rajasthan Royals,Sunrisers Hyderabad,Bhuvneshwar Kumar,4,0,41,3,10.25,8,4,2,0,0,40
Sunrisers Hyderabad Vs Rajasthan Royals,Rajasthan Royals,Yuzvendra Chahal,4,0,62,0,15.50,6,4,6,1,0,40
Sunrisers Hyderabad Vs Rajasthan Royals,Rajasthan Royals,Sandeep Sharma,4,0,31,1,7.75,10,1,2,2,0,40
Sunrisers Hyderabad Vs Rajasthan Royals,Rajasthan Royals,Avesh Khan,4,0,39,2,9.75,12,3,3,3,0,40
Sunrisers Hyderabad Vs Rajasthan Royals,Rajasthan Royals,Ravichandran Ashwin,4,0,36,0,9.00,10,0,4,1,0,40
Sunrisers Hyderabad Vs Rajasthan Royals,Rajasthan Royals,Trent Boult,4,0,33,0,8.25,8,5,0,1,0,40
Kolkata Knight Riders Vs Mumbai Indians,Kolkata Knight Riders,Andre Russell,4,0,30,2,7.50,11,1,2,1,0,41
Kolkata Knight Riders Vs Mumbai Indians,Kolkata Knight Riders,Sunil Narine,4,0,22,2,5.50,11,2,0,1,0,41
Kolkata Knight Riders Vs Mumbai Indians,Kolkata Knight Riders,Varun Chakravarthy,4,0,22,2,5.50,11,2,0,0,0,41
Kolkata Knight Riders Vs Mumbai Indians,Kolkata Knight Riders,Mitchell Starc,3.5,0,33,4,8.60,12,1,3,1,0,41
Kolkata Knight Riders Vs Mumbai Indians,Kolkata Knight Riders,Vaibhav Arora,3,0,35,0,11.66,5,5,1,1,1,41
Kolkata Knight Riders Vs Mumbai Indians,Mumbai Indians,Piyush Chawla,3,0,15,1,5.00,8,1,0,0,0,41
Kolkata Knight Riders Vs Mumbai Indians,Mumbai Indians,Naman Dhir,3,0,25,0,8.33,3,2,0,1,0,41
Kolkata Knight Riders Vs Mumbai Indians,Mumbai Indians,Hardik Pandya,4,0,44,2,11.00,9,2,4,1,0,41
Kolkata Knight Riders Vs Mumbai Indians,Mumbai Indians,Gerald Coetzee,2,0,24,0,12.00,3,3,1,0,0,41
Kolkata Knight Riders Vs Mumbai Indians,Mumbai Indians,Jasprit Bumrah,3.5,0,18,3,4.69,15,1,1,0,0,41
Kolkata Knight Riders Vs Mumbai Indians,Mumbai Indians,Nuwan Thushara,4,0,42,3,10.50,11,3,3,3,1,41
Gujarat Titans Vs Royal Challengers Bengaluru,Gujarat Titans,Rashid Khan,1.4,0,25,0,15.00,1,3,1,0,0,37
Gujarat Titans Vs Royal Challengers Bengaluru,Gujarat Titans,Noor Ahmad,4,0,23,2,5.75,13,4,0,0,0,37
Gujarat Titans Vs Royal Challengers Bengaluru,Gujarat Titans,Manav Suthar,2,0,26,0,13.00,4,1,3,0,0,37
Gujarat Titans Vs Royal Challengers Bengaluru,Gujarat Titans,Josh Little,4,0,45,4,11.25,9,6,2,1,0,37
Gujarat Titans Vs Royal Challengers Bengaluru,Gujarat Titans,Mohit Sharma,2,0,32,0,16.00,2,4,2,0,0,37
Gujarat Titans Vs Royal Challengers Bengaluru,Royal Challengers Bengaluru,Karn Sharma,3,0,42,1,14.00,6,5,3,0,0,37
Gujarat Titans Vs Royal Challengers Bengaluru,Royal Challengers Bengaluru,Vijaykumar Vyshak,3.3,0,23,2,6.57,10,2,1,1,0,37
Gujarat Titans Vs Royal Challengers Bengaluru,Royal Challengers Bengaluru,Cameron Green,4,0,28,1,7.00,11,3,1,0,0,37
Gujarat Titans Vs Royal Challengers Bengaluru,Royal Challengers Bengaluru,Yash Dayal,4,0,21,2,5.25,11,2,0,0,0,37
Gujarat Titans Vs Royal Challengers Bengaluru,Royal Challengers Bengaluru,Mohammed Siraj,4,0,29,2,7.25,13,5,0,3,0,37
Gujarat Titans Vs Royal Challengers Bengaluru,Royal Challengers Bengaluru,Swapnil Singh,1,0,1,0,1.00,5,0,0,0,0,37
Chennai Super Kings Vs Punjab Kings,Chennai Super Kings,Shardul Thakur,2,0,12,1,6.00,4,1,0,1,0,39
Chennai Super Kings Vs Punjab Kings,Chennai Super Kings,Simarjeet Singh,3,0,16,2,5.33,11,1,1,0,0,39
Chennai Super Kings Vs Punjab Kings,Chennai Super Kings,Ravindra Jadeja,4,0,20,3,5.00,9,1,0,0,0,39
Chennai Super Kings Vs Punjab Kings,Chennai Super Kings,Richard Gleeson,4,0,41,0,10.25,10,3,3,2,0,39
Chennai Super Kings Vs Punjab Kings,Chennai Super Kings,Tushar Deshpande,4,0,35,2,8.75,11,5,1,1,0,39
Chennai Super Kings Vs Punjab Kings,Chennai Super Kings,Mitchell Santner,3,0,10,1,3.33,11,1,0,0,0,39
Chennai Super Kings Vs Punjab Kings,Punjab Kings,Harshal Patel,4,0,24,3,6.00,10,2,0,2,0,39
Chennai Super Kings Vs Punjab Kings,Punjab Kings,Rahul Chahar,4,0,23,3,5.75,10,1,1,1,0,39
Chennai Super Kings Vs Punjab Kings,Punjab Kings,Harpreet Brar,1,0,19,0,19.00,1,3,1,0,0,39
Chennai Super Kings Vs Punjab Kings,Punjab Kings,Sam Curran,4,0,34,1,8.50,3,2,1,0,0,39
Chennai Super Kings Vs Punjab Kings,Punjab Kings,Arshdeep Singh,4,0,42,2,10.50,7,4,2,1,0,39
Chennai Super Kings Vs Punjab Kings,Punjab Kings,Kagiso Rabada,3,0,24,0,8.00,7,3,0,1,0,39
Kolkata Knight Riders Vs Lucknow Super Giants,Kolkata Knight Riders,Andre Russell,2,0,17,2,8.50,4,0,1,3,0,28
Kolkata Knight Riders Vs Lucknow Super Giants,Kolkata Knight Riders,Varun Chakravarthy,3,0,30,3,10.00,8,0,4,0,0,28
Kolkata Knight Riders Vs Lucknow Super Giants,Kolkata Knight Riders,Harshit Rana,3.1,0,24,3,7.57,8,2,1,1,0,28
Kolkata Knight Riders Vs Lucknow Super Giants,Kolkata Knight Riders,Sunil Narine,4,0,22,1,5.50,8,1,0,1,0,28
Kolkata Knight Riders Vs Lucknow Super Giants,Kolkata Knight Riders,Mitchell Starc,2,0,22,1,11.00,5,5,0,0,0,28
Kolkata Knight Riders Vs Lucknow Super Giants,Kolkata Knight Riders,Vaibhav Arora,2,0,21,0,10.50,4,2,1,1,0,28
Kolkata Knight Riders Vs Lucknow Super Giants,Lucknow Super Giants,Yudhvir Singh,2,0,24,1,12.00,2,1,2,0,0,28
Kolkata Knight Riders Vs Lucknow Super Giants,Lucknow Super Giants,Ravi Bishnoi,4,0,33,1,8.25,8,3,1,2,0,28
Kolkata Knight Riders Vs Lucknow Super Giants,Lucknow Super Giants,Krunal Pandya,2,0,26,0,13.00,2,0,2,2,0,28
Kolkata Knight Riders Vs Lucknow Super Giants,Lucknow Super Giants,Yash Thakur,4,0,46,1,11.50,7,3,3,3,0,28
Kolkata Knight Riders Vs Lucknow Super Giants,Lucknow Super Giants,Naveen-ul-Haq,4,0,49,3,12.25,7,9,0,1,0,28
Kolkata Knight Riders Vs Lucknow Super Giants,Lucknow Super Giants,Mohsin Khan,2,0,28,0,14.00,4,3,2,1,0,28
Kolkata Knight Riders Vs Lucknow Super Giants,Lucknow Super Giants,Marcus Stoinis,2,0,29,0,14.50,4,2,3,0,0,28
Sunrisers Hyderabad Vs Mumbai Indians,Sunrisers Hyderabad,Shahbaz Ahmed,1,0,11,0,11.00,1,2,0,0,0,8
Sunrisers Hyderabad Vs Mumbai Indians,Sunrisers Hyderabad,Nitish Kumar Reddy,2,0,16,0,8.00,5,3,0,0,0,8
Sunrisers Hyderabad Vs Mumbai Indians,Sunrisers Hyderabad,T Natarajan,3.2,0,31,0,9.30,8,4,1,0,0,8
Sunrisers Hyderabad Vs Mumbai Indians,Sunrisers Hyderabad,Pat Cummins,4,1,35,1,8.75,12,4,2,1,0,8
Sunrisers Hyderabad Vs Mumbai Indians,Sunrisers Hyderabad,Marco Jansen,3,0,45,1,15.00,5,5,2,2,0,8
Sunrisers Hyderabad Vs Mumbai Indians,Sunrisers Hyderabad,Bhuvneshwar Kumar,4,1,22,1,5.50,17,3,1,1,0,8
Sunrisers Hyderabad Vs Mumbai Indians,Mumbai Indians,Piyush Chawla,4,0,33,3,8.25,7,1,2,2,0,8
Sunrisers Hyderabad Vs Mumbai Indians,Mumbai Indians,Hardik Pandya,4,0,31,3,7.75,7,4,0,1,0,8
Sunrisers Hyderabad Vs Mumbai Indians,Mumbai Indians,Jasprit Bumrah,4,0,23,1,5.75,9,2,0,1,0,8
Sunrisers Hyderabad Vs Mumbai Indians,Mumbai Indians,Anshul Kamboj,4,0,42,1,10.50,9,3,2,1,2,8
Sunrisers Hyderabad Vs Mumbai Indians,Mumbai Indians,Nuwan Thushara,4,0,42,0,10.50,7,3,1,3,1,8
Delhi Capitals Vs Rajasthan Royals,Delhi Capitals,Rasikh Salam,3,0,36,1,12.00,6,1,4,1,0,9
Delhi Capitals Vs Rajasthan Royals,Delhi Capitals,Kuldeep Yadav,4,0,25,2,6.25,10,0,2,0,1,9
Delhi Capitals Vs Rajasthan Royals,Delhi Capitals,Axar Patel,3,0,25,1,8.33,9,2,2,0,0,9
Delhi Capitals Vs Rajasthan Royals,Delhi Capitals,Mukesh Kumar,3,0,30,2,10.00,7,4,1,1,0,9
Delhi Capitals Vs Rajasthan Royals,Delhi Capitals,Ishant Sharma,3,0,34,0,11.33,7,4,2,1,0,9
Delhi Capitals Vs Rajasthan Royals,Delhi Capitals,Khaleel Ahmed,4,0,47,2,11.75,9,5,2,7,0,9
Delhi Capitals Vs Rajasthan Royals,Rajasthan Royals,Yuzvendra Chahal,4,0,48,1,12.00,5,4,3,0,0,9
Delhi Capitals Vs Rajasthan Royals,Rajasthan Royals,Riyan Parag,2,0,17,0,8.50,4,1,1,1,0,9
Delhi Capitals Vs Rajasthan Royals,Rajasthan Royals,Ravichandran Ashwin,4,0,24,3,6.00,6,0,1,0,0,9
Delhi Capitals Vs Rajasthan Royals,Rajasthan Royals,Avesh Khan,2,0,42,0,21.00,0,5,3,0,0,9
Delhi Capitals Vs Rajasthan Royals,Rajasthan Royals,Sandeep Sharma,4,0,42,1,10.50,7,5,2,0,0,9
Delhi Capitals Vs Rajasthan Royals,Rajasthan Royals,Trent Boult,4,0,48,1,12.00,8,7,2,0,0,9
Lucknow Super Giants Vs Sunrisers Hyderabad,Lucknow Super Giants,Ayush Badoni,1,0,19,0,19.00,0,1,2,0,0,42
Lucknow Super Giants Vs Sunrisers Hyderabad,Lucknow Super Giants,Naveen-ul-Haq,2,0,37,0,18.50,1,5,2,0,0,42
Lucknow Super Giants Vs Sunrisers Hyderabad,Lucknow Super Giants,Ravi Bishnoi,2,0,34,0,17.00,4,2,4,0,0,42
Lucknow Super Giants Vs Sunrisers Hyderabad,Lucknow Super Giants,Yash Thakur,2.4,0,47,0,17.62,4,6,3,1,0,42
Lucknow Super Giants Vs Sunrisers Hyderabad,Lucknow Super Giants,Krishnappa Gowtham,2,0,29,0,14.50,5,2,3,1,0,42
Lucknow Super Giants Vs Sunrisers Hyderabad,Sunrisers Hyderabad,T Natarajan,4,0,50,0,12.50,4,8,0,3,0,42
Lucknow Super Giants Vs Sunrisers Hyderabad,Sunrisers Hyderabad,Jaydev Unadkat,2,0,19,0,9.50,4,0,2,0,0,42
Lucknow Super Giants Vs Sunrisers Hyderabad,Sunrisers Hyderabad,Vijayakanth Viyaskanth,4,0,27,0,6.75,8,2,1,0,0,42
Lucknow Super Giants Vs Sunrisers Hyderabad,Sunrisers Hyderabad,Shahbaz Ahmed,2,0,9,0,4.50,4,0,0,0,0,42
Lucknow Super Giants Vs Sunrisers Hyderabad,Sunrisers Hyderabad,Pat Cummins,4,0,47,1,11.75,5,6,1,0,0,42
Lucknow Super Giants Vs Sunrisers Hyderabad,Sunrisers Hyderabad,Bhuvneshwar Kumar,4,0,12,2,3.00,12,0,0,0,0,42
Royal Challengers Bengaluru Vs Punjab Kings,Royal Challengers Bengaluru,Karn Sharma,3,0,36,2,12.00,7,3,3,0,0,6
Royal Challengers Bengaluru Vs Punjab Kings,Royal Challengers Bengaluru,Cameron Green,1,0,16,0,16.00,1,2,1,0,0,6
Royal Challengers Bengaluru Vs Punjab Kings,Royal Challengers Bengaluru,Will Jacks,1,0,5,0,5.00,1,0,0,0,0,6
